name,cap_id,type,area_mm2_measured,area_mm2_expected,area_error_pct,cx_cm,cy_cm,cz_cm
LICA,1,inlet,71.9243033564544,72.0,-0.10513422714666376,-1.2032167391045965,-1.4684603552887403,-13.082000732421877
RICA,4,inlet,71.94021437049287,71.9,0.055930974259891394,2.354124774249272,-1.6246416235338696,-13.082000732421877
LVA,2,inlet,17.689517351704723,17.7,-0.0592240016682298,-1.051563105923068,0.3420926602818887,-13.082000732421877
RVA,3,inlet,17.74956347062772,17.7,0.28001960806621934,2.1959368668071426,0.2772805556432525,-13.082000732421877
LPCA,7,outlet,17.589551227234203,17.7,-0.6240043659084527,-2.614948169520644,1.1817283505299052,8.098940839923797
RPCA,10,outlet,17.529699611955447,17.7,-0.9621490849974699,2.54739959193211,1.23641705419503,8.099284078560624
LMCA,9,outlet,17.72142771223941,17.7,0.12106052112661884,-2.472757145143905,-2.9308554739322306,8.099224479243441
LACA,6,outlet,17.533011782638628,17.8,-1.4999338054009712,0.795310524053741,-2.716804567972819,8.098861011705901
RACA,8,outlet,17.52308791083357,17.9,-2.105654129421385,2.1950311566962575,-2.7208140951688176,8.098941627877657
RMCA,5,outlet,17.627197633518545,17.9,-1.5240355669354952,4.04643418653956,-2.942403599001327,8.098778677886386
