cap_id,source,source_region_id,n_cells,area_mm2,area_cm2,cx_mm,cy_mm,cz_mm,cx_cm,cy_cm,cz_cm,nx,ny,nz,assigned_name,face_file
1,existing_planar_cap_from_closed_stl,23,5118,71.9243033564544,0.719243033564544,-12.03216739104596,-14.684603552887404,-130.82000732421875,-1.2032167391045965,-1.4684603552887403,-13.082000732421877,0.0,0.0,-1.0,LICA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_01.vtp
2,existing_planar_cap_from_closed_stl,22,2748,17.689517351704723,0.1768951735170472,-10.515631059230678,3.420926602818887,-130.82000732421875,-1.051563105923068,0.3420926602818887,-13.082000732421877,0.0,0.0,-1.0,LVA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_02.vtp
3,existing_planar_cap_from_closed_stl,21,2194,17.74956347062772,0.1774956347062772,21.959368668071424,2.772805556432525,-130.82000732421875,2.1959368668071426,0.2772805556432525,-13.082000732421877,0.0,0.0,-1.0,RVA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_03.vtp
4,existing_planar_cap_from_closed_stl,24,5559,71.94021437049287,0.7194021437049287,23.54124774249272,-16.246416235338696,-130.82000732421875,2.354124774249272,-1.6246416235338696,-13.082000732421877,0.0,0.0,-1.0,RICA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_04.vtp
5,existing_planar_cap_from_closed_stl,15,69,17.627197633518545,0.1762719763351854,40.4643418653956,-29.424035990013262,80.98778677886386,4.04643418653956,-2.942403599001327,8.098778677886386,-0.0080875756867712,-0.0056405249425235,0.9999513866173112,RMCA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_05.vtp
6,existing_planar_cap_from_closed_stl,11,78,17.533011782638628,0.1753301178263862,7.953105240537409,-27.16804567972819,80.98861011705901,0.795310524053741,-2.716804567972819,8.098861011705901,0.0024630698569424,-0.0013274530868474,0.9999960855699298,LACA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_06.vtp
7,existing_planar_cap_from_closed_stl,8,80,17.589551227234203,0.175895512272342,-26.14948169520644,11.817283505299052,80.98940839923796,-2.614948169520644,1.1817283505299052,8.098940839923797,-0.0017322214121046,-0.002659901337315,0.9999949621542376,LPCA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_07.vtp
8,existing_planar_cap_from_closed_stl,13,86,17.52308791083357,0.1752308791083357,21.950311566962572,-27.208140951688172,80.98941627877657,2.1950311566962575,-2.7208140951688176,8.098941627877657,0.0019635371692327,-0.001543590634855,0.9999968809200044,RACA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_08.vtp
9,existing_planar_cap_from_closed_stl,10,63,17.72142771223941,0.1772142771223941,-24.727571451439047,-29.308554739322304,80.9922447924344,-2.472757145143905,-2.9308554739322306,8.099224479243441,0.0013634667343174,-0.0034347200848113,0.9999931718048896,LMCA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_09.vtp
10,existing_planar_cap_from_closed_stl,5,63,17.529699611955447,0.1752969961195545,25.473995919321094,12.3641705419503,80.99284078560623,2.54739959193211,1.23641705419503,8.099284078560624,-0.0039057123705838,0.0020185980309363,0.9999903352897304,RPCA,cases/cow_luisi_mvp/geometry/faces_pre_mesh/cap_10.vtp
